Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	IA	Errors
falcon	203,963	3.0%	Mcr	Py	Gun	Non	Lin	Rea	0
bottle-pypy	199,254	3.0%	Mcr	Py	Gun	Non	Lin	Rea	0
php	195,923	2.9%	Plt	PHP	FPM	ngx	Lin	Rea	0
tornado-pypy	192,795	2.9%	Plt	Py	Tor	Non	Lin	Rea	0
compojure	176,734	2.6%	Mcr	Clj	Svt	Res	Lin	Rea	0
bottle	172,662	2.6%	Mcr	Py	Gun	Non	Lin	Rea	0
falcon-py3	169,519	2.5%	Mcr	Py	Gun	Non	Lin	Rea	0
bottle-py3	143,681	2.1%	Mcr	Py	Gun	Non	Lin	Rea	0
rack-ruby	131,659	2.0%	Plt	Rby	Rac	Uni	Lin	Rea	5
ringojs	123,575	1.8%	Plt	JS	Rin	Jty	Lin	Rea	54
aspnet-stripped	109,136	1.6%	Ful	C#	Net	IIS	Win	Str	0
evhttp-sharp	108,436	1.6%	Mcr	C#	Mon	Non	Lin	Rea	0
http-listener	104,047	1.5%	Plt	C#	Net	hts	Win	Rea	0
tornado	98,211	1.5%	Plt	Py	Tor	Non	Lin	Rea	0
ringojs-conv	94,583	1.4%	Mcr	JS	Rin	Jty	Lin	Rea	171
wsgi-nginx-uwsgi	92,231	1.4%	Plt	Py	uWS	ngx	Lin	Rea	0
sinatra-jruby	90,035	1.3%	Mcr	Rby	JRb	Tor	Lin	Rea	0
spring	86,885	1.3%	Ful	Jav	Svt	Tom	Lin	Rea	0
tornado-py3	80,487	1.2%	Plt	Py	Tor	Non	Lin	Rea	0
luminus	72,618	1.1%	Mcr	Clj	Svt	Res	Lin	Rea	0
grails	72,348	1.1%	Ful	Grv	Svt	Res	Lin	Rea	0
snap	72,217	1.1%	Mcr	Hkl	Snp	Non	Lin	Rea	0
aspnet	71,589	1.1%	Ful	C#	Net	IIS	Win	Rea	0
flask	66,463	1.0%	Mcr	Py	Gun	Non	Lin	Rea	0
flask-py3	64,620	1.0%	Mcr	Py	Gun	Non	Lin	Rea	0
flask-pypy	60,218	0.9%	Mcr	Py	Gun	Non	Lin	Rea	0
dart	57,551	0.9%	Plt	Dar	Dar	ngx	Lin	Rea	0
flask-nginx-uwsgi	55,204	0.8%	Mcr	Py	uWS	ngx	Lin	Rea	85
start	54,888	0.8%	Mcr	Dar	Dar	ngx	Lin	Rea	0
stream	54,160	0.8%	Mcr	Dar	Dar	ngx	Lin	Rea	0
bottle-nginx-uwsgi	40,347	0.6%	Mcr	Py	uWS	ngx	Lin	Rea	3
pyramid-py2	40,071	0.6%	Ful	Py	Wsg	Gun	Lin	Rea	9
pyramid-py3	37,585	0.6%	Ful	Py	Wsg	Gun	Lin	Rea	5
ninja-standalone	35,271	0.5%	Ful	Jav	Jty	Jty	Lin	Rea	925
ninja-standalone	35,177	0.5%	Ful	Jav	Svt	Res	Lin	Rea	0
phpixie	32,876	0.5%	Ful	PHP	FPM	ngx	Lin	Rea	0
sinatra-ruby	30,541	0.5%	Mcr	Rby	Rac	Uni	Lin	Rea	3,139,167
treefrog	17,545	0.3%	Ful	C++	Tre	Non	Lin	Rea	171
spark	5,769	0.1%	Mcr	Jav	Svt	Res	Lin	Rea	2,397
cake	5,207	0.1%	Ful	PHP	FPM	ngx	Lin	Rea	0
aspnet-mvc-mono	5,192	0.1%	Ful	C#	Mon	ngx	Lin	Rea	0
phreeze	3,419	0.1%	Mcr	PHP	FPM	ngx	Lin	Rea	931,997
servicestack-nginx-d	2,343	0.0%	Plt	C#	Mon	ngx	Lin	Rea	2
hhvm	938	0.0%	Plt	PHP	hhv	HPH	Lin	Rea	2,231
